model,train_dataset,test_dataset,shot,seed,category,auroc,aupr
visa_va_ta_pqa_4shot,visa,mvtec,4,7,pill,0.9621,0.9931
visa_va_ta_pqa_4shot,visa,mvtec,4,7,screw,0.7782,0.8897
visa_va_ta_pqa_4shot,visa,mvtec,4,7,tile,0.9993,0.9997
visa_va_ta_pqa_4shot,visa,mvtec,4,7,toothbrush,1.0,1.0
visa_va_ta_pqa_4shot,visa,mvtec,4,7,transistor,0.9375,0.9076
visa_va_ta_pqa_4shot,visa,mvtec,4,7,wood,0.9921,0.9978
visa_va_ta_pqa_4shot,visa,mvtec,4,7,zipper,0.9785,0.9943
visa_va_ta_pqa_8shot,visa,mvtec,8,42,bottle,0.9984,0.9995
visa_va_ta_pqa_8shot,visa,mvtec,8,42,cable,0.9672,0.9817
visa_va_ta_pqa_8shot,visa,mvtec,8,42,capsule,0.9174,0.9832
visa_va_ta_pqa_8shot,visa,mvtec,8,42,carpet,0.9996,0.9999
visa_va_ta_pqa_8shot,visa,mvtec,8,42,grid,1.0,1.0
visa_va_ta_pqa_8shot,visa,mvtec,8,42,hazelnut,1.0,1.0
visa_va_ta_pqa_8shot,visa,mvtec,8,42,leather,1.0,1.0
visa_va_ta_pqa_8shot,visa,mvtec,8,42,metal_nut,0.9995,0.9999
visa_va_ta_pqa_8shot,visa,mvtec,8,42,pill,0.9607,0.9928
visa_va_ta_pqa_8shot,visa,mvtec,8,42,screw,0.8102,0.9114
visa_va_ta_pqa_8shot,visa,mvtec,8,42,tile,0.9996,0.9999
visa_va_ta_pqa_8shot,visa,mvtec,8,42,toothbrush,1.0,1.0
visa_va_ta_pqa_8shot,visa,mvtec,8,42,transistor,0.9517,0.9242
visa_va_ta_pqa_8shot,visa,mvtec,8,42,wood,0.9991,0.9997
visa_va_ta_pqa_8shot,visa,mvtec,8,42,zipper,0.984,0.9956
visa_va_ta_pqa_8shot,visa,mvtec,8,123,bottle,0.996,0.9987
visa_va_ta_pqa_8shot,visa,mvtec,8,123,cable,0.9663,0.981
visa_va_ta_pqa_8shot,visa,mvtec,8,123,capsule,0.9067,0.9796
visa_va_ta_pqa_8shot,visa,mvtec,8,123,carpet,0.9996,0.9999
visa_va_ta_pqa_8shot,visa,mvtec,8,123,grid,0.9992,0.9997
visa_va_ta_pqa_8shot,visa,mvtec,8,123,hazelnut,1.0,1.0
visa_va_ta_pqa_8shot,visa,mvtec,8,123,leather,1.0,1.0
